Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/agent_infos/final/logpi Max,evaluation/agent_infos/final/logpi Mean,evaluation/agent_infos/final/logpi Min,evaluation/agent_infos/final/logpi Std,evaluation/agent_infos/initial/logpi Max,evaluation/agent_infos/initial/logpi Mean,evaluation/agent_infos/initial/logpi Min,evaluation/agent_infos/initial/logpi Std,evaluation/agent_infos/logpi Max,evaluation/agent_infos/logpi Mean,evaluation/agent_infos/logpi Min,evaluation/agent_infos/logpi Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/agent_infos/final/logpi Max,exploration/agent_infos/final/logpi Mean,exploration/agent_infos/final/logpi Min,exploration/agent_infos/final/logpi Std,exploration/agent_infos/initial/logpi Max,exploration/agent_infos/initial/logpi Mean,exploration/agent_infos/initial/logpi Min,exploration/agent_infos/initial/logpi Std,exploration/agent_infos/logpi Max,exploration/agent_infos/logpi Mean,exploration/agent_infos/logpi Min,exploration/agent_infos/logpi Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,trainer/Extrinsic Advantages Max,trainer/Extrinsic Advantages Mean,trainer/Extrinsic Rewards Max,trainer/Extrinsic Rewards Mean,trainer/Intrinsic Advantages Max,trainer/Intrinsic Advantages Mean,trainer/Intrinsic Rewards Max,trainer/Intrinsic Rewards Mean,trainer/Intrinsic Rewards Raw Max,trainer/Intrinsic Rewards Raw Mean,trainer/Intrinsic Targets Max,trainer/Intrinsic Targets Mean,trainer/Intrinsic Value Loss,trainer/KL Div Max,trainer/KL Div Mean,trainer/KL Div Min,trainer/KL Div Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Value Estimates Max,trainer/Value Estimates Mean,trainer/Value Estimates Min,trainer/Value Estimates Std,trainer/Value Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,-0.000190965,-0.000218796,-0.000246628,2.78316e-05,-44.7684743791,6,-30.609084893,-44.7684743791,-58.1265274,9.5173792606,-0.204060565953,-0.298456495861,-0.387510182666,0.0634491950707,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6,900,150,150.0,150,0.0,0.999749,-0.00208521,-0.999004,0.616277,-42.478401667,140,-9.71858594107,-42.478401667,-74.4468520274,15.0296261145,-0.0991692442966,-0.290379698895,-0.496312346849,0.0992870300288,-0.729528188705,-1.39269537245,-2.66765928268,0.27353676835,-0.536002635956,-1.36398469891,-2.72289085388,0.297888137014,-0.394992351532,-1.35059700371,-5.22851276398,0.272736382657,140,20480,150,146.285714286,98,13.3920475946,1.97764,-6.51926e-08,-0.133376,-0.31111,4.02488e+10,3.04231e+10,2.01717e+09,1.74926e+09,20.1717,20.1717,4.02488e+10,3.04231e+10,1.13396e+21,7.62939e-06,5.72763e-08,-1.66893e-06,5.69953e-07,-0.535083,-1.34313,-2.0503,0.298737,1.18278e-07,-0.00118055,-0.00118055,-0.00118055,1.16415e-10,26.8271,1000,-0.000190965,-0.000218796,-0.000246628,2.78315e-05,0.00114387,0.000145552,-0.00085277,0.000998322,1.00114,1.00015,0.999148,0.000998467
1,0.100929,0.0632603,0.0255915,0.0376688,-48.4129251926,6,-28.1591683227,-48.4129251926,-67.9266994305,12.9256726449,-0.187727788818,-0.322752834617,-0.45284466287,0.0861711509662,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12,1800,150,150.0,150,0.0,0.998778,0.0334853,-0.999942,0.586771,-42.3367802505,140,-11.1744608111,-42.3367802505,-74.8187073187,14.3104213877,-0.0744964054071,-0.289411583744,-0.498791382124,0.0934604880042,-0.56135559082,-1.32424252672,-2.18441915512,0.301361112656,-0.586576461792,-1.32033543374,-2.52334451675,0.310996447119,-0.486873626709,-1.31851317017,-7.63467311859,0.337025685187,280,40960,150,146.285714286,98,13.3920475946,4.14001,-8.3819e-09,-0.108836,-0.276513,4.02488e+10,3.12375e+10,2.01717e+09,1.78866e+09,20.1717,20.1717,4.02488e+10,3.12375e+10,1.16527e+21,4.76837e-07,9.77889e-09,-9.53674e-07,1.81782e-07,-0.757767,-1.33689,-1.73164,0.210563,1.21072e-08,-15.8396,-15.8396,-15.8396,0.0,14.5294,2000,0.100929,0.0632603,0.0255915,0.0376688,-0.0705088,-0.105751,-0.140992,0.0352417,0.93192,0.900208,0.868496,0.0317117
2,0.206173,0.0692724,-0.0676286,0.136901,-37.0650451084,6,-24.2368517756,-37.0650451084,-56.5592634314,10.9402559487,-0.161579011837,-0.247100300723,-0.377061756209,0.0729350396582,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18,2700,150,150.0,150,0.0,0.998788,0.0702971,-0.995884,0.541505,-41.4835485806,140,-12.9453527596,-41.4835485806,-73.9275095472,14.9082671572,-0.0989443140073,-0.283578945375,-0.492850063648,0.0974390694073,-0.673692703247,-1.32173994226,-4.0074634552,0.444150548701,-0.520127058029,-1.24173187699,-2.81405615807,0.360697345736,-0.517743825912,-1.26985123341,-6.52011728287,0.382199311427,420,61440,150,146.285714286,98,13.3920475946,3.31265,-9.31323e-09,-0.141376,-0.293726,4.02478e+10,2.96162e+10,2.01717e+09,1.75714e+09,20.1717,20.1717,4.02478e+10,2.96162e+10,1.09433e+21,6.67572e-06,1.93249e-08,-3.33786e-06,5.06504e-07,-0.671967,-1.33962,-5.10347,0.48029,1.42609e-08,-17.1259,-17.1259,-17.1259,0.0,24.6824,3000,0.206173,0.0692724,-0.0676286,0.136901,-0.133412,-0.242958,-0.352505,0.109547,0.875105,0.789015,0.702925,0.0860899
3,0.205563,0.100069,-0.00542388,0.105493,-37.6650719194,6,-23.7198855651,-37.6650719194,-50.7936809889,8.5529887755,-0.158132570434,-0.251100479462,-0.338624539926,0.05701992517,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,24,3600,150,150.0,150,0.0,0.999845,0.123054,-0.996235,0.523904,-41.7665296192,140,-16.4132963823,-41.7665296192,-74.818687558,14.8431264982,-0.109421975882,-0.285513386069,-0.498791250387,0.0973048252282,-0.302313804626,-1.214446018,-2.35240125656,0.384132465925,-0.472454786301,-1.21706976848,-3.73360085487,0.49935466389,-0.246393442154,-1.21014263246,-6.72703361511,0.483693368983,560,81920,150,146.285714286,98,13.3920475946,3.36817,-9.31323e-09,-0.111489,-0.281647,4.02488e+10,3.15237e+10,2.01717e+09,1.82806e+09,20.1717,20.1717,4.02488e+10,3.15237e+10,1.16682e+21,3.8147e-06,1.67638e-08,-5.96046e-07,3.54818e-07,-0.656314,-1.21513,-2.81588,0.341334,9.31323e-10,-17.0164,-17.0164,-17.0164,0.0,17.4155,4000,0.205563,0.100069,-0.00542388,0.105493,-0.161724,-0.311663,-0.461602,0.149939,0.850676,0.740474,0.630273,0.110202
4,0.412473,0.256334,0.100195,0.156139,-42.9038036666,6,-26.9077022523,-42.9038036666,-58.15087224,12.8566476544,-0.179384681682,-0.286025357778,-0.3876724816,0.085710984363,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4500,150,150.0,150,0.0,0.998305,0.21583,-0.986973,0.493638,-39.855781878,140,-12.092215193,-39.855781878,-73.8143036982,14.8166903901,-0.0806147679531,-0.272451633932,-0.492095357988,0.0969982976662,-0.0446683168411,-0.997697911944,-3.64866876602,0.680894424286,-0.0801923274994,-1.02814408626,-3.43186020851,0.661806942269,0.0813663005829,-1.05048611426,-5.82479906082,0.674783606875,700,102400,150,146.285714286,98,13.3920475946,4.13434,1.30385e-08,-0.140728,-0.269621,4.02488e+10,3.09548e+10,2.01717e+09,1.76502e+09,20.1717,20.1717,4.02488e+10,3.09548e+10,1.15156e+21,1.90735e-06,1.49012e-08,-1.90735e-06,3.34032e-07,-0.189958,-1.15804,-3.05277,0.589605,3.86499e-08,-16.8899,-16.8899,-16.8899,1.90735e-06,15.7303,5000,0.412473,0.256334,0.100195,0.156139,-0.162701,-0.311767,-0.460833,0.149066,0.849845,0.740301,0.630758,0.109544
5,0.439249,0.297621,0.155994,0.141627,-51.2463526307,6,-38.150829061,-51.2463526307,-69.7409637928,10.8629900642,-0.254338860407,-0.341642350871,-0.464939758619,0.0724199337613,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36,5400,150,150.0,150,0.0,0.996928,0.256684,-0.95856,0.433528,-44.5705424881,140,-7.10431568954,-44.5705424881,-74.4236703081,14.1118565471,-0.0724930172402,-0.30468144279,-0.496157802054,0.0939631101356,-0.0135872960091,-0.905985686183,-2.99750947952,0.665983327068,0.0669925808907,-0.847718077047,-2.77065229416,0.610216318624,0.0958185195923,-0.875351188266,-7.73331594467,0.740923294419,840,122880,150,146.285714286,98,13.3920475946,3.2709,7.45058e-09,-0.151108,-0.276627,4.02488e+10,3.06369e+10,2.01717e+09,1.7729e+09,20.1717,20.1717,4.02488e+10,3.06369e+10,1.15663e+21,9.53674e-07,2.18861e-08,-1.90735e-06,3.14373e-07,-0.116863,-0.957238,-3.75296,0.656834,1.86265e-09,-16.0279,-16.0279,-16.0279,1.90735e-06,22.7815,6000,0.439249,0.297621,0.155994,0.141627,-0.374797,-0.521684,-0.66857,0.146886,0.687429,0.599935,0.512441,0.0874939
6,0.427122,0.335639,0.244156,0.0914833,-44.8611067667,6,-24.7286949133,-44.8611067667,-64.9056673032,13.6090199363,-0.164857966088,-0.299074045112,-0.432704448688,0.0907267995756,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,42,6300,150,150.0,150,0.0,0.990686,0.257579,-0.947931,0.396433,-39.7133311326,140,-10.2241525472,-39.7133311326,-73.6129721381,14.4318245665,-0.0955003549491,-0.27147784954,-0.490753147587,0.0954739921774,0.350336968899,-0.634468201016,-2.58499312401,0.650354167426,0.348436772823,-0.693468965803,-3.88019132614,0.760534136744,0.3580955863,-0.718517954199,-7.49602556229,0.786273084503,980,143360,150,146.285714286,98,13.3920475946,3.60144,-1.67638e-08,-0.111534,-0.289487,4.02478e+10,3.01109e+10,2.01717e+09,1.7729e+09,20.1717,20.1717,4.02478e+10,3.01109e+10,1.11162e+21,2.38419e-06,2.71248e-08,-5.06639e-07,4.16404e-07,0.064836,-0.756886,-3.87517,0.710683,7.91624e-09,-18.5393,-18.5393,-18.5393,1.90735e-06,24.2449,7000,0.427122,0.335639,0.244155,0.0914833,-0.576043,-0.698567,-0.821092,0.122525,0.562119,0.501035,0.439951,0.0610838
7,0.508781,0.303948,0.0991141,0.204834,-42.0506560745,6,-17.2249757797,-42.0506560745,-68.8398840967,19.2482573605,-0.114833171864,-0.280337707163,-0.458932560644,0.128321715736,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,48,7200,150,150.0,150,0.0,0.982072,0.243042,-0.943742,0.385581,-41.9126349352,140,-11.061586106,-41.9126349352,-74.4356952437,15.0966305375,-0.0929117885514,-0.286512152878,-0.496237968291,0.0998076005183,0.277723431587,-0.675818055017,-4.9386548996,0.868743577135,0.248525857925,-0.669373517803,-2.92226195335,0.738651663533,0.293688178062,-0.636588595835,-8.38881492615,0.791456998982,1120,163840,150,146.285714286,98,13.3920475946,3.73048,3.72529e-09,-0.168879,-0.310635,4.02488e+10,3.15116e+10,2.01717e+09,1.80442e+09,20.1717,20.1717,4.02488e+10,3.15116e+10,1.18146e+21,2.86102e-06,8.50996e-08,-4.76837e-07,4.14696e-07,0.292297,-0.589385,-4.61287,0.869922,-3.07336e-08,-15.3527,-15.3527,-15.3527,2.86102e-06,18.6155,8000,0.508781,0.303948,0.0991141,0.204834,-0.66707,-0.806578,-0.946086,0.139508,0.51321,0.450734,0.388258,0.0624762
8,0.402948,0.284658,0.166369,0.118289,-49.7185359082,6,-36.541762682,-49.7185359082,-67.3317533824,11.7692182801,-0.243611751213,-0.331456906055,-0.448878355883,0.0784614552009,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54,8100,150,150.0,150,0.0,0.980607,0.242956,-0.944371,0.369664,-40.1478979253,140,-11.0152807295,-40.1478979253,-74.4644929449,15.6036234652,-0.0734352048631,-0.274448520974,-0.496429952966,0.10526596481,0.191338926554,-0.787633224683,-3.65738368034,0.754837780912,0.210503757,-0.713652655695,-3.42550492287,0.776045452044,0.216410219669,-0.683592707259,-7.41824913025,0.757148091248,1260,184320,150,146.285714286,98,13.3920475946,3.52798,-2.98023e-08,-0.102152,-0.248533,4.02488e+10,3.18243e+10,2.01717e+09,1.8517e+09,20.1717,20.1717,4.02488e+10,3.18243e+10,1.18074e+21,1.90735e-06,2.7474e-08,-2.38419e-06,3.40046e-07,0.142148,-0.559579,-3.85028,0.687443,3.53903e-08,-16.8396,-16.8396,-16.8396,0.0,20.9577,9000,0.402948,0.284658,0.166369,0.118289,-0.749508,-0.826805,-0.904103,0.0772972,0.472599,0.438752,0.404905,0.0338469
9,0.404054,0.302294,0.200533,0.10176,-39.6724891255,6,-15.3204938709,-39.6724891255,-71.2709224892,17.8843696646,-0.102136625806,-0.264483260836,-0.475139483261,0.119229131098,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,60,9000,150,150.0,150,0.0,0.966004,0.231931,-0.950342,0.377806,-40.2753583823,140,-13.8723531733,-40.2753583823,-73.9300438838,13.7511517487,-0.0924823544888,-0.275319832691,-0.492866959226,0.0902517999436,0.194004356861,-0.766392605432,-3.52807474136,0.755143307676,0.0660409927368,-0.718283911475,-3.29644155502,0.631441761211,0.1942948699,-0.73294200713,-8.5539226532,0.736142786403,1400,204800,150,146.285714286,98,13.3920475946,3.8756,-7.45058e-09,-0.146907,-0.250636,4.02488e+10,2.91205e+10,2.01717e+09,1.67835e+09,20.1717,20.1717,4.02488e+10,2.91205e+10,1.08486e+21,1.19209e-06,-4.43542e-08,-1.19209e-06,2.6532e-07,0.111349,-0.658797,-4.20477,0.74669,2.32831e-08,-16.5134,-16.5134,-16.5134,0.0,16.953,10000,0.404054,0.302294,0.200533,0.10176,-0.787703,-0.807426,-0.82715,0.0197235,0.454889,0.446091,0.437294,0.00879732
