Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/agent_infos/final/logpi Max,evaluation/agent_infos/final/logpi Mean,evaluation/agent_infos/final/logpi Min,evaluation/agent_infos/final/logpi Std,evaluation/agent_infos/initial/logpi Max,evaluation/agent_infos/initial/logpi Mean,evaluation/agent_infos/initial/logpi Min,evaluation/agent_infos/initial/logpi Std,evaluation/agent_infos/logpi Max,evaluation/agent_infos/logpi Mean,evaluation/agent_infos/logpi Min,evaluation/agent_infos/logpi Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/agent_infos/final/logpi Max,exploration/agent_infos/final/logpi Mean,exploration/agent_infos/final/logpi Min,exploration/agent_infos/final/logpi Std,exploration/agent_infos/initial/logpi Max,exploration/agent_infos/initial/logpi Mean,exploration/agent_infos/initial/logpi Min,exploration/agent_infos/initial/logpi Std,exploration/agent_infos/logpi Max,exploration/agent_infos/logpi Mean,exploration/agent_infos/logpi Min,exploration/agent_infos/logpi Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,trainer/Extrinsic Advantages Max,trainer/Extrinsic Advantages Mean,trainer/Extrinsic Rewards Max,trainer/Extrinsic Rewards Mean,trainer/Intrinsic Advantages Max,trainer/Intrinsic Advantages Mean,trainer/Intrinsic Rewards Max,trainer/Intrinsic Rewards Mean,trainer/Intrinsic Rewards Raw Max,trainer/Intrinsic Rewards Raw Mean,trainer/Intrinsic Targets Max,trainer/Intrinsic Targets Mean,trainer/Intrinsic Value Loss,trainer/KL Div Max,trainer/KL Div Mean,trainer/KL Div Min,trainer/KL Div Std,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Value Estimates Max,trainer/Value Estimates Mean,trainer/Value Estimates Min,trainer/Value Estimates Std,trainer/Value Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.000709651,-4.89695e-05,-0.00080759,0.00075862,-45.5321615649,6,-15.6287074813,-45.5321615649,-62.9972203058,17.9374108542,-0.104191383209,-0.303547743766,-0.419981468705,0.119582739028,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,6,900,150,150.0,150,0.0,0.999721,-0.0214122,-0.999566,0.628676,-41.6100008752,140,-13.0933215956,-41.6100008752,-73.8947395602,14.4035297255,-0.0881453338957,-0.284443365358,-0.492631597068,0.0960550521223,-0.351603031158,-1.32675127813,-1.90045976639,0.333776190718,-0.539704322815,-1.35420090471,-2.08836174011,0.32918649729,-0.0993437767029,-1.33327878977,-4.67811727524,0.329983711318,140,20480,150,146.285714286,98,13.3920475946,3.33489,2.08616e-07,-0.174362,-0.299221,2.90879e+10,2.25448e+10,1.45781e+09,1.28697e+09,14.5781,14.5781,2.90879e+10,2.25448e+10,6.06072e+20,2.38419e-06,-3.81842e-08,-1.90735e-06,3.38632e-07,-0.527406,-1.30042,-2.23758,0.334931,-1.37836e-07,-8.72332e-06,-8.72332e-06,-8.72332e-06,1.81899e-12,21.9899,1000,0.000709651,-4.89695e-05,-0.00080759,0.00075862,0.00110946,0.000590731,7.19998e-05,0.000518731,1.00111,1.00059,1.00007,0.000519037
1,0.0989149,-0.0205445,-0.140004,0.119459,-33.5849923238,6,-20.391199151,-33.5849923238,-43.948385827,8.80626779181,-0.135941327674,-0.223899948826,-0.292989238847,0.0587084519454,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,12,1800,150,150.0,150,0.0,0.999482,-0.031208,-0.999746,0.604937,-41.9694136877,140,-13.1596912545,-41.9694136877,-74.2708209277,15.2384047963,-0.0877312750297,-0.286900288881,-0.495138806185,0.0995557959889,-0.105241298676,-1.30250068051,-2.09562849998,0.377118922658,-0.262181282043,-1.38688062344,-2.98637914658,0.4108591735,0.19455242157,-1.30874699285,-6.15805339813,0.403667913906,280,40960,150,146.285714286,98,13.3920475946,4.06427,-1.86265e-09,-0.129804,-0.24578,2.90879e+10,2.2601e+10,1.45781e+09,1.28697e+09,14.5781,14.5781,2.90879e+10,2.2601e+10,6.12698e+20,2.86102e-05,1.24332e-07,-1.19209e-06,1.80175e-06,-0.393758,-1.33944,-4.22241,0.34528,-2.7474e-07,-15.443,-15.443,-15.443,0.0,13.8454,2000,0.0989149,-0.0205445,-0.140004,0.119459,-0.0370225,-0.0613133,-0.0856041,0.0242908,0.963654,0.940806,0.917958,0.0228485
2,0.135264,0.0146085,-0.106047,0.120655,-49.9876886055,6,-38.0315747829,-49.9876886055,-68.4267797203,11.1541340449,-0.253543831886,-0.33325125737,-0.456178531469,0.0743608936327,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,18,2700,150,150.0,150,0.0,0.995406,0.00591295,-0.997848,0.540672,-41.3434714019,140,-13.0614448427,-41.3434714019,-72.4618385354,15.0273524221,-0.0870762989511,-0.282621386536,-0.483078923569,0.0991892035719,-0.713712930679,-1.31545522639,-3.45528817177,0.387108027096,-0.754485607147,-1.26414613553,-2.94528532028,0.315999797713,-0.643602371216,-1.28458102946,-6.66392803192,0.347729471584,420,61440,150,146.285714286,98,13.3920475946,3.73472,-1.11759e-08,-0.134341,-0.275619,2.90879e+10,2.15323e+10,1.45781e+09,1.2585e+09,14.5781,14.5781,2.90879e+10,2.15323e+10,5.73334e+20,4.76837e-06,1.62981e-08,-2.38419e-06,4.28277e-07,-0.81438,-1.36782,-3.30066,0.333144,1.67638e-08,-17.4889,-17.4889,-17.4889,0.0,20.1497,3000,0.135264,0.0146085,-0.106047,0.120655,-0.161122,-0.221443,-0.281764,0.060321,0.851188,0.80282,0.754452,0.0483682
3,0.167367,0.0481425,-0.0710822,0.119225,-46.4984936154,6,-22.2924973538,-46.4984936154,-71.4719556895,17.5102524442,-0.148616649025,-0.309989957436,-0.476479704597,0.116735016295,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,24,3600,150,150.0,150,0.0,0.990714,0.0421364,-0.994993,0.518539,-39.6246982925,140,-14.4182525567,-39.6246982925,-73.3476063888,14.1689315227,-0.0961216837111,-0.270871960984,-0.488984042592,0.0919643078571,-0.700053572655,-1.26296373393,-3.47054123878,0.426415820414,-0.71659040451,-1.22292449049,-3.23726916313,0.395938481535,-0.697935461998,-1.23445048892,-5.58948564529,0.399657329526,560,81920,150,146.285714286,98,13.3920475946,4.25621,1.67638e-08,-0.139484,-0.272097,2.90872e+10,2.28383e+10,1.45781e+09,1.28697e+09,14.5781,14.5781,2.90872e+10,2.28383e+10,6.18164e+20,3.8147e-06,3.37604e-08,-7.15256e-07,3.29617e-07,-0.848921,-1.28697,-4.53962,0.416052,-6.51926e-09,-16.05,-16.05,-16.05,1.90735e-06,12.4129,4000,0.167367,0.0481425,-0.0710822,0.119225,-0.221495,-0.35236,-0.483226,0.130866,0.80132,0.709055,0.61679,0.0922648
4,0.207726,0.0912435,-0.0252395,0.116483,-49.4259475572,6,-38.712370121,-49.4259475572,-69.3233728122,12.7105195446,-0.258082467473,-0.329506317048,-0.462155818748,0.0847367969638,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30,4500,150,150.0,150,0.0,0.992272,0.0366301,-0.991857,0.483119,-43.0935081397,140,-7.51989673442,-43.0935081397,-74.9846383031,16.2484577207,-0.0767336401472,-0.294584528299,-0.499897588687,0.105398061453,-0.680540323257,-1.16093902205,-3.75637960434,0.398356990221,-0.583860218525,-1.17456329209,-3.75030231476,0.502698180548,-0.558910548687,-1.16743804136,-9.29102802277,0.467939600897,700,102400,150,146.285714286,98,13.3920475946,3.98527,-1.86265e-09,-0.143821,-0.276465,2.90879e+10,2.29786e+10,1.45781e+09,1.31545e+09,14.5781,14.5781,2.90879e+10,2.29786e+10,6.16771e+20,1.43051e-06,3.39933e-08,-7.15256e-07,2.6824e-07,-0.859437,-1.20875,-2.7406,0.343154,-2.95695e-08,-15.7872,-15.7872,-15.7872,2.86102e-06,15.6325,5000,0.207726,0.0912435,-0.0252395,0.116483,-0.31129,-0.410589,-0.509887,0.0992985,0.732501,0.666532,0.600563,0.065969
5,0.0263115,-0.0715979,-0.169507,0.0979094,-38.1557076428,6,-11.7465770451,-38.1557076428,-58.2347536282,15.2527024576,-0.0783105136337,-0.254371384286,-0.388231690855,0.10168468305,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36,5400,150,150.0,150,0.0,0.967334,-0.0461539,-0.985644,0.445431,-43.7767964618,140,-13.5573615828,-43.7767964618,-74.3326327676,15.5703543357,-0.090799304982,-0.299255444563,-0.495550885118,0.100798661694,-0.449146211147,-1.01988720213,-3.54382658005,0.527994673994,-0.449934244156,-1.07397576698,-4.20751476288,0.586161137778,-0.425790786743,-1.05895638549,-7.70150184631,0.567922780914,840,122880,150,146.285714286,98,13.3920475946,3.36304,-9.31323e-09,-0.105029,-0.262083,2.90879e+10,2.13146e+10,1.45781e+09,1.2585e+09,14.5781,14.5781,2.90879e+10,2.13146e+10,5.72463e+20,1.90735e-06,3.49246e-09,-5.96046e-07,2.66771e-07,-0.490443,-1.06053,-5.38762,0.571728,3.1665e-08,-17.8831,-17.8831,-17.8831,1.90735e-06,25.4922,6000,0.0263115,-0.0715979,-0.169507,0.0979094,-0.50495,-0.629574,-0.754199,0.124624,0.603536,0.536962,0.470387,0.0665742
6,-0.0424188,-0.111278,-0.180136,0.0688588,-40.2334135394,6,-15.7022573176,-40.2334135394,-60.1957625562,13.7249899082,-0.10468171545,-0.268222756929,-0.401305083708,0.0914999327214,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,42,6300,150,150.0,150,0.0,0.979083,-0.102271,-0.987314,0.438104,-41.6669470464,140,-11.2340809862,-41.6669470464,-75.0770336095,15.0819087234,-0.0748938732416,-0.284832645825,-0.500513557396,0.0971733171697,-0.321581423283,-1.053834552,-4.79872751236,0.710719539715,-0.308055520058,-1.08495225566,-3.87925195694,0.687331016471,-0.250579714775,-1.01133222808,-8.26491069794,0.614037742488,980,143360,150,146.285714286,98,13.3920475946,3.99737,9.54606e-09,-0.0748939,-0.282779,2.90879e+10,2.29043e+10,1.45781e+09,1.30975e+09,14.5781,14.5781,2.90879e+10,2.29043e+10,6.1989e+20,7.15256e-07,-4.30737e-08,-1.19209e-06,2.6939e-07,-0.463351,-1.10827,-3.78553,0.605551,-1.67638e-08,-17.8957,-17.8957,-17.8957,1.90735e-06,18.8652,7000,-0.0424188,-0.111278,-0.180136,0.0688588,-0.553976,-0.641873,-0.729769,0.0878965,0.57466,0.52834,0.48202,0.0463201
7,-0.0303409,-0.100052,-0.169762,0.0697107,-38.6507665907,6,-24.1098007483,-38.6507665907,-51.4087163872,8.583047475,-0.160732004989,-0.257671777272,-0.342724775914,0.0572203165,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,48,7200,150,150.0,150,0.0,0.984967,-0.0412899,-0.985919,0.433732,-41.7082011434,140,-12.0076932496,-41.7082011434,-74.8125016799,14.8243522779,-0.0800512883305,-0.285114656254,-0.498750011199,0.0979116213377,-0.457081675529,-1.09945156617,-4.05142021179,0.61266149826,-0.469944119453,-1.00375910061,-2.5070233345,0.463242956,-0.446563601494,-1.01913545008,-7.76794099808,0.575653314934,1120,163840,150,146.285714286,98,13.3920475946,3.83593,-7.45058e-09,-0.0800513,-0.298616,2.90879e+10,2.30297e+10,1.45781e+09,1.30406e+09,14.5781,14.5781,2.90879e+10,2.30297e+10,6.23301e+20,1.19209e-06,2.84053e-08,-8.34465e-07,2.81743e-07,-0.459996,-1.00987,-3.38494,0.493317,3.72529e-09,-16.094,-16.094,-16.094,1.90735e-06,18.6998,8000,-0.0303409,-0.100052,-0.169762,0.0697107,-0.527116,-0.646031,-0.764946,0.118915,0.590305,0.527832,0.465359,0.0624729
8,0.0219797,-0.0520257,-0.126031,0.0740054,-45.9539935382,6,-35.3645157871,-45.9539935382,-60.4161537959,8.46254186442,-0.235763438581,-0.306359956922,-0.402774358639,0.0564169457628,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,54,8100,150,150.0,150,0.0,0.972139,0.00105333,-0.977486,0.423093,-40.7247070054,140,-10.9334246796,-40.7247070054,-74.2422161866,15.4733330435,-0.0728894978639,-0.278391551794,-0.494948107911,0.102815671754,-0.441488206387,-0.991100144386,-3.4703001976,0.534370165799,-0.41529417038,-1.06932042411,-4.35373163223,0.599596196971,-0.401820063591,-1.00425303529,-7.80880641937,0.576778164969,1260,184320,150,146.285714286,98,13.3920475946,3.76241,0.0,-0.1241,-0.291688,2.90879e+10,2.21773e+10,1.45781e+09,1.29267e+09,14.5781,14.5781,2.90879e+10,2.21773e+10,5.94814e+20,4.76837e-07,4.65661e-09,-5.96046e-07,1.84108e-07,-0.478183,-0.997563,-4.92786,0.553826,-9.31323e-09,-16.1793,-16.1793,-16.1793,0.0,18.0064,9000,0.0219797,-0.0520257,-0.126031,0.0740054,-0.52181,-0.654624,-0.787439,0.132815,0.593446,0.524227,0.455009,0.0692186
9,0.0573619,0.0269481,-0.00346556,0.0304137,-42.1207099376,6,-22.3169979172,-42.1207099376,-55.7490195872,10.4626817138,-0.148779986115,-0.280804732917,-0.371660130581,0.0697512114254,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,60,9000,150,150.0,150,0.0,0.972544,0.0590822,-0.961041,0.398716,-42.0518049214,140,-14.8515067741,-42.0518049214,-74.4147030518,15.4803034421,-0.0990100451604,-0.287463510205,-0.496098020345,0.103727734706,-0.238807916641,-0.875077799388,-3.19497227669,0.552458214099,-0.236586868763,-0.900111731035,-3.65447592735,0.619268031509,-0.21454757452,-0.911215192667,-6.2431678772,0.622356390205,1400,204800,150,146.285714286,98,13.3920475946,3.89037,2.23517e-08,-0.13996,-0.302821,2.90872e+10,2.24353e+10,1.45781e+09,1.2642e+09,14.5781,14.5781,2.90872e+10,2.24353e+10,6.07818e+20,1.90735e-06,1.39698e-09,-9.53674e-07,2.16576e-07,-0.430507,-0.971842,-6.24317,0.630588,3.72529e-09,-15.858,-15.858,-15.858,2.86102e-06,15.2559,10000,0.0573619,0.0269482,-0.00346556,0.0304137,-0.653056,-0.700804,-0.748551,0.0477475,0.520453,0.496752,0.473052,0.0237007
